EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
AFRI FARMÁCIA LDA,PROMETHAZINE HYDROCHLORIDE TABLETS,"Prometazina, Hidrocloreto",10mg,Comprimidos Revestidos,CARTEIRAS COM 100 COMP(2x5x10)
AFRI FARMÁCIA LDA,ORACIP,"CIPROFLOXACINA,hidrocloreto",0%,Colírio e Gotas auriculares,FRASCO    5ML
AFRI FARMÁCIA LDA,FUNGINIL-K,Ketoconazol,200mg,Comprimidos,EMBALAGEM 100 COMP(10x10)
AFRI FARMÁCIA LDA,ENSTAL 20,"Enalapril, maleato",20mg,Comprimidos,EMBALAGEM 100 COMP(10x10)
AFRI FARMÁCIA LDA,ENSTAL 10,"Enalapril, maleato",10mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,DEPISTA-25,Imipramina,25mg,Comprimidos,EMBALAGEM 100 COMP (10x10)
AFRI FARMÁCIA LDA,AMITRILON-25,"AMITRIPTILINA, cloridrato",25mg,Comprimidos Revestidos,EMBALAGEM 100 COMP (10x10)
AFRI FARMÁCIA LDA,FUNGISTAT CREAM,"Miconazol, nitrato",2%,Creme,TUBO 15 GRS
AFRI FARMÁCIA LDA,ELYSTAMINE CREAM,"MEPIRAMINA,maleato",2%,Creme,TUBO 15 GRS
AFRI FARMÁCIA LDA,ELYCORT,"Hidrocortisona, acetato",1%,Creme,TUBO 15g
AFRI FARMÁCIA LDA,CANDISTAT creme,CLOTRIMAZOL,1%,Creme tópico,TUBO15g
AFRI FARMÁCIA LDA,CANDISTAT,CLOTRIMAZOL,100mg/1000mg,Comprimidos vaginais,CXS 6 COMP VAG
AFRI FARMÁCIA LDA,URGENDOL 50,"Tramadol, Cloridrato",50mg/ml,Solução Injectável,AMPOLA 2 ML
AFRI FARMÁCIA LDA,URGENDOL 100,"Tramadol, Cloridrato",100mg/ml,Solução Injectável,AMPOLA 1 ML
AFRI FARMÁCIA LDA,URGENDOL,"Tramadol, Cloridrato",50mg,Cápsulas,BLISTER  de 10 Cápsulas
AFRI FARMÁCIA LDA,MOVILON 25,Indometacina,25mg,Cápsulas,EMBALAGEM 100 CÁPS(10x10)
AFRI FARMÁCIA LDA,FUNGISTIN,Nistatina,100.000UI,Comprimidos vaginais,EMBALAGEM 15 COMP VAGINAIS
AFRI FARMÁCIA LDA,EUCHLOR-250,Cloranfenicol,250mg,Cápsulas,CXS 100 CÁPS(10x10) e frasco de 1000
AFRI FARMÁCIA LDA,CHLORPHENIRAMINE,"Clorfeniramina, maleato",4mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,ELYTETRA,Hirocloreto de Tetraciclina,3% (30mg/g),Pomada,Bisnaga de 15g
AFRI FARMÁCIA LDA,NAUM PAIM BALM,Mentol + Cânfora + Metilsalicilato + Óleo de Terpentina + Óleo de Eucalipto + Óleo de cravo-da-índia,4.5% + 5% + 10% + 2% + 5% + 1%,Pomada,Bisnaga de 20G
AFRI FARMÁCIA LDA,DIPARA,Paracetamol + Diclofenac,500mg + 50mg,Comprimidos,EMBALAGEM 100 COMP Blisters (10x10)
AFRI FARMÁCIA LDA,LYFE - Sais de Rehidratação Oral,Glicose + cloreto de sódio + citrato de sódio + Cloreto de Potássio,13.5g + 2.6g + 2.9g + 1.5g,Pó para Solução Oral,50 saquetas de pó para preparação de 1000ml  Solução e 50 saquetas de pó para preparação de 500ml  Solução
"GENERICS & SPECIALITIES, Lda",CEDOR,Paracetamol,500mg,Comprimidos,Embalagens 10X10 e 50x10
"GENERICS & SPECIALITIES, Lda",G-ZOLE,Albendazol,400mg,Comprimidos,embalagem de 1 comprimido
"GENERICS & SPECIALITIES, Lda",GENSPRIN,Ácido Acetilsalicílico,500mg,Comprimidos,Embalagens 10X10
"GENERICS & SPECIALITIES, Lda",GENLYTE,Dextrose + Cloreto de Sódio + Cloreto de Potássio + Citrato de Sódio (Sais de rehidratação oral),"13,500mg + 2,600mg + 1,500mg + 2,900mg",Pó para Solução Oral,Saqueta de 21g
"GENERICS & SPECIALITIES, Lda",ANOMEX,"Hidrocortisona, Acetato + Lidocaína + Alantoína + óxido de zinco","0,25%w/w+3%w/w+5%w/w+5%w/w",Supositório,Blister de 5 supositórios
"GENERICS & SPECIALITIES, Lda",IBUGEN,Paracetamol+Ibuprofeno+Cafeina,325mg+200mg+40mg,Comprimidos,Embalagens 10X10 e de 1 x 10
"GENERICS & SPECIALITIES, Lda",GENTOSSE,Hidrobrometo de dextrometorfano + Bromexina + Cloreto de amónio,10mg + 8mg + 100mg,Xarope,Frasco de 100ml
AFRI FARMÁCIA LDA,UMITOL-200,Carbamazepina,200mg,Comprimidos,EMBALAGEM 100 COMP (10x10)
AFRI FARMÁCIA LDA,SPIROLON-25,Espironolactona,25mg,comprimidos revestidos,embalagem de 100 Comprimidos e de 5 x10´s
AFRI FARMÁCIA LDA,ALOPRON 100,Alopurinol,100mg,Comprimidos,EMBALAGEM DE 100 COMP(10x10)
AFRI FARMÁCIA LDA,UMETAC-300,Ranitidina,300mg,Comprimidos Revestidos,EMBALAGEM 100 COMP Blisters (10x10)
